slug,nombre,linea,precio,imagen_local,imagen_url_original,alcance,joules,voltaje,url
b500,B500,LÍNEA B (110V),$ 310.000,/assets/images/U8LFRrUZtP2kBLhJTaqAU2t8sw.webp,https://framerusercontent.com/images/U8LFRrUZtP2kBLhJTaqAU2t8sw.png?scale-down-to=512,hasta 40 km,6J,12v,https://balkrann.framer.website/productos/b500
b1500,B1500,LÍNEA B (110V),$ 364.000,/assets/images/U8LFRrUZtP2kBLhJTaqAU2t8sw.webp,https://framerusercontent.com/images/U8LFRrUZtP2kBLhJTaqAU2t8sw.png?scale-down-to=512,hasta 40 km,6J,12v,https://balkrann.framer.website/productos/b1500
b2000,B2000,LÍNEA B (110V),$ 420.000,/assets/images/U8LFRrUZtP2kBLhJTaqAU2t8sw.webp,https://framerusercontent.com/images/U8LFRrUZtP2kBLhJTaqAU2t8sw.png?scale-down-to=512,hasta 40 km,6J,12v,https://balkrann.framer.website/productos/b2000
b3000,B3000,LÍNEA B (110V),$ 455.000,/assets/images/U8LFRrUZtP2kBLhJTaqAU2t8sw.webp,https://framerusercontent.com/images/U8LFRrUZtP2kBLhJTaqAU2t8sw.png?scale-down-to=512,hasta 40 km,6J,12v,https://balkrann.framer.website/productos/b3000
b4500h,B4500H,LÍNEA 110V,$ 628.000,/assets/images/U8LFRrUZtP2kBLhJTaqAU2t8sw.webp,https://framerusercontent.com/images/U8LFRrUZtP2kBLhJTaqAU2t8sw.png?scale-down-to=512,hasta 40 km,6J,12v,https://balkrann.framer.website/productos/b4500h
b9000,B9000,LÍNEA B (110V),$ 732.000,/assets/images/U8LFRrUZtP2kBLhJTaqAU2t8sw.webp,https://framerusercontent.com/images/U8LFRrUZtP2kBLhJTaqAU2t8sw.png?scale-down-to=512,hasta 40 km,6J,12v,https://balkrann.framer.website/productos/b9000
b14000,B14000,LÍNEA 110V,$ 900.000,/assets/images/U8LFRrUZtP2kBLhJTaqAU2t8sw.webp,https://framerusercontent.com/images/U8LFRrUZtP2kBLhJTaqAU2t8sw.png?scale-down-to=512,hasta 40 km,6J,12v,https://balkrann.framer.website/productos/b14000
b18000,B18000,LÍNEA 110V,$ 1.000.000,/assets/images/U8LFRrUZtP2kBLhJTaqAU2t8sw.webp,https://framerusercontent.com/images/U8LFRrUZtP2kBLhJTaqAU2t8sw.png?scale-down-to=512,hasta 40 km,6J,12v,https://balkrann.framer.website/productos/b18000
b800s,B800S,LÍNEA DUAL,$ 725.000,/assets/images/U8LFRrUZtP2kBLhJTaqAU2t8sw.webp,https://framerusercontent.com/images/U8LFRrUZtP2kBLhJTaqAU2t8sw.png?scale-down-to=512,hasta 40 km,6J,12v,https://balkrann.framer.website/productos/b800s
b4500hd,B4500HD,LÍNEA DUAL,$ 728.000,/assets/images/U8LFRrUZtP2kBLhJTaqAU2t8sw.webp,https://framerusercontent.com/images/U8LFRrUZtP2kBLhJTaqAU2t8sw.png?scale-down-to=512,hasta 40 km,6J,12v,https://balkrann.framer.website/productos/b4500hd
b6000hd,B6000HD,,,,,,6J,,https://balkrann.framer.website/productos/b6000hd
b6000d,B6000D,,,,,,6J,,https://balkrann.framer.website/productos/b6000d
b9000d,B9000D,,,,,,6J,,https://balkrann.framer.website/productos/b9000d
b9000hd,B9000HD,,,,,,6J,,https://balkrann.framer.website/productos/b9000hd
b1000s,B1000S,,,,,,6J,,https://balkrann.framer.website/productos/b1000s
b2000s,B2000S,,,,,,6J,,https://balkrann.framer.website/productos/b2000s
b3000s,B3000S,,,,,,6J,,https://balkrann.framer.website/productos/b3000s
b4500s,B4500S,,,,,,6J,,https://balkrann.framer.website/productos/b4500s
b6000s,B6000S,,,,,,6J,,https://balkrann.framer.website/productos/b6000s
b9000s,B9000S,,,,,,6J,,https://balkrann.framer.website/productos/b9000s
kit-solar-b800s,KIT-SOLAR-B800S,,,,,,6J,,https://balkrann.framer.website/productos/kit-solar-b800s
